kmers_medium_example1>Time>10^5-10^7
k	load_time(s)	lookup_time(s)
10	221.082		0.041
20	221.711		0.063
30	209.061		0.064
40	211.049		0.064
50	209.615		0.067
60	207.845		0.081
70	208.221		0.100
80	209.191		0.115
90	209.111		0.139
100	211.480		0.138
200	212.030		0.272
500	213.258		0.591
1000	216.331		1.092
1500	219.990		1.613
